RequestID,StudentID,FacultyID,RequestDate,Reason,Status,MLCreditAdjustment
LR-0005,STU-0005,FAC-006,2026-03-10,Medical leave,Rejected,-5
LR-0006,STU-0006,FAC-001,2026-04-15,Family emergency,Rejected,-5
LR-0011,STU-0011,FAC-006,2026-07-01,Internet outage,Approved,5
LR-0012,STU-0012,FAC-001,2026-03-10,Internet outage,Approved,5
LR-0014,STU-0014,FAC-003,2026-06-21,Internet outage,Approved,5
LR-0016,STU-0016,FAC-005,2026-06-10,Family emergency,Approved,5
LR-0017,STU-0017,FAC-006,2026-01-27,Medical leave,Approved,5
LR-0022,STU-0022,FAC-005,2026-06-09,Family emergency,Approved,5
LR-0027,STU-0027,FAC-004,2026-06-26,Internet outage,Rejected,-5
LR-0030,STU-0030,FAC-001,2026-02-07,Family emergency,Rejected,-5
LR-0031,STU-0031,FAC-002,2026-03-16,Medical leave,Approved,5
LR-0034,STU-0034,FAC-005,2026-02-12,Medical leave,Rejected,-5
LR-0040,STU-0040,FAC-005,2026-07-02,Internet outage,Approved,5
LR-0041,STU-0041,FAC-006,2026-03-21,Family emergency,Rejected,-5
LR-0046,STU-0046,FAC-005,2026-04-22,Medical leave,Approved,5
LR-0047,STU-0047,FAC-006,2026-01-30,Internet outage,Rejected,-5
LR-0049,STU-0049,FAC-002,2026-03-31,Family emergency,Rejected,-5
LR-0050,STU-0050,FAC-003,2026-07-03,Internet outage,Approved,5
LR-0051,STU-0051,FAC-004,2026-03-30,Family emergency,Approved,5
LR-0053,STU-0053,FAC-006,2026-06-20,Medical leave,Approved,5
LR-0055,STU-0055,FAC-002,2026-03-07,Internet outage,Approved,5
LR-0060,STU-0060,FAC-001,2026-05-22,Medical leave,Approved,5
LR-0061,STU-0061,FAC-002,2026-01-30,Internet outage,Approved,5
LR-0062,STU-0062,FAC-003,2026-05-18,Family emergency,Approved,5
LR-0065,STU-0065,FAC-006,2026-06-28,Family emergency,Approved,5
LR-0066,STU-0066,FAC-001,2026-06-21,Medical leave,Approved,5
LR-0069,STU-0069,FAC-004,2026-05-19,Internet outage,Rejected,-5
LR-0070,STU-0070,FAC-005,2026-05-26,Family emergency,Approved,5
LR-0079,STU-0079,FAC-002,2026-02-01,Medical leave,Approved,5
