TaskID,ClassroomID,TaskTitle,DueDate,Category
TSK-001,CLS-01,Presentation Brief,2026-01-07,Lab
TSK-002,CLS-02,Presentation Brief,2026-01-13,Assignment
TSK-003,CLS-03,Data Story,2026-01-19,Presentation
TSK-004,CLS-04,Security Review,2026-01-25,Assignment
TSK-005,CLS-05,Data Story,2026-01-31,Assignment
TSK-006,CLS-06,Data Story,2026-02-06,Assignment
TSK-007,CLS-01,API Integration,2026-02-12,Presentation
TSK-008,CLS-02,Data Story,2026-02-18,Assignment
TSK-009,CLS-03,Security Review,2026-02-24,Presentation
TSK-010,CLS-04,Data Story,2026-03-02,Presentation
TSK-011,CLS-05,Security Review,2026-03-08,Presentation
TSK-012,CLS-06,API Integration,2026-03-14,Lab
TSK-013,CLS-01,API Integration,2026-03-20,Assignment
TSK-014,CLS-02,Presentation Brief,2026-03-26,Presentation
TSK-015,CLS-03,Data Story,2026-04-01,Presentation
TSK-016,CLS-04,Data Story,2026-04-07,Presentation
TSK-017,CLS-05,API Integration,2026-04-13,Assignment
TSK-018,CLS-06,Cloud Deployment,2026-04-19,Presentation
TSK-019,CLS-01,Security Review,2026-04-25,Assignment
TSK-020,CLS-02,Data Story,2026-05-01,Assignment
TSK-021,CLS-03,Presentation Brief,2026-05-07,Assignment
TSK-022,CLS-04,Data Story,2026-05-13,Presentation
TSK-023,CLS-05,Data Story,2026-05-19,Assignment
TSK-024,CLS-06,API Integration,2026-05-25,Presentation
TSK-025,CLS-01,Cloud Deployment,2026-05-31,Assignment
TSK-026,CLS-02,Presentation Brief,2026-06-06,Assignment
TSK-027,CLS-03,Cloud Deployment,2026-06-12,Lab
TSK-028,CLS-04,Cloud Deployment,2026-06-18,Presentation
TSK-029,CLS-05,Cloud Deployment,2026-06-24,Lab
TSK-030,CLS-06,Data Story,2026-06-30,Assignment
