StudentID,Date,Month,AttendancePct
STU-0001,2026-01-01,Jan,74.8
STU-0001,2026-01-29,Jan,71.8
STU-0001,2026-02-26,Feb,75.1
STU-0001,2026-03-26,Mar,70.5
STU-0001,2026-04-23,Apr,65.8
STU-0001,2026-05-21,May,74.6
STU-0001,2026-06-18,Jun,58.4
STU-0002,2026-01-01,Jan,87.1
STU-0002,2026-01-29,Jan,97.2
STU-0002,2026-02-26,Feb,93.6
STU-0002,2026-03-26,Mar,86.3
STU-0002,2026-04-23,Apr,77.9
STU-0002,2026-05-21,May,96.6
STU-0002,2026-06-18,Jun,92.3
STU-0003,2026-01-01,Jan,93.8
STU-0003,2026-01-29,Jan,98.7
STU-0003,2026-02-26,Feb,88.8
STU-0003,2026-03-26,Mar,93.9
STU-0003,2026-04-23,Apr,89.3
STU-0003,2026-05-21,May,98.3
STU-0003,2026-06-18,Jun,96.3
STU-0004,2026-01-01,Jan,84.2
STU-0004,2026-01-29,Jan,81.0
STU-0004,2026-02-26,Feb,83.1
STU-0004,2026-03-26,Mar,72.9
STU-0004,2026-04-23,Apr,88.5
STU-0004,2026-05-21,May,69.2
STU-0004,2026-06-18,Jun,86.9
STU-0005,2026-01-01,Jan,81.4
STU-0005,2026-01-29,Jan,84.6
STU-0005,2026-02-26,Feb,75.9
STU-0005,2026-03-26,Mar,84.8
STU-0005,2026-04-23,Apr,76.6
STU-0005,2026-05-21,May,70.3
STU-0005,2026-06-18,Jun,83.6
STU-0006,2026-01-01,Jan,77.2
STU-0006,2026-01-29,Jan,69.8
STU-0006,2026-02-26,Feb,81.8
STU-0006,2026-03-26,Mar,64.1
STU-0006,2026-04-23,Apr,68.7
STU-0006,2026-05-21,May,71.1
STU-0006,2026-06-18,Jun,65.6
STU-0007,2026-01-01,Jan,73.2
STU-0007,2026-01-29,Jan,83.2
STU-0007,2026-02-26,Feb,86.9
STU-0007,2026-03-26,Mar,78.9
STU-0007,2026-04-23,Apr,84.2
STU-0007,2026-05-21,May,72.3
STU-0007,2026-06-18,Jun,83.9
STU-0008,2026-01-01,Jan,69.5
STU-0008,2026-01-29,Jan,74.5
STU-0008,2026-02-26,Feb,68.6
STU-0008,2026-03-26,Mar,81.8
STU-0008,2026-04-23,Apr,72.0
STU-0008,2026-05-21,May,72.5
STU-0008,2026-06-18,Jun,70.8
STU-0009,2026-01-01,Jan,83.7
STU-0009,2026-01-29,Jan,85.2
STU-0009,2026-02-26,Feb,82.4
STU-0009,2026-03-26,Mar,87.4
STU-0009,2026-04-23,Apr,80.5
STU-0009,2026-05-21,May,80.6
STU-0009,2026-06-18,Jun,69.4
STU-0010,2026-01-01,Jan,76.9
STU-0010,2026-01-29,Jan,64.1
STU-0010,2026-02-26,Feb,67.8
STU-0010,2026-03-26,Mar,60.7
STU-0010,2026-04-23,Apr,72.9
STU-0010,2026-05-21,May,73.9
STU-0010,2026-06-18,Jun,72.2
STU-0011,2026-01-01,Jan,65.1
STU-0011,2026-01-29,Jan,55.1
STU-0011,2026-02-26,Feb,70.9
STU-0011,2026-03-26,Mar,57.4
STU-0011,2026-04-23,Apr,73.5
STU-0011,2026-05-21,May,60.4
STU-0011,2026-06-18,Jun,62.1
STU-0012,2026-01-01,Jan,87.8
STU-0012,2026-01-29,Jan,83.8
STU-0012,2026-02-26,Feb,77.2
STU-0012,2026-03-26,Mar,75.2
STU-0012,2026-04-23,Apr,76.3
STU-0012,2026-05-21,May,86.1
STU-0012,2026-06-18,Jun,72.9
STU-0013,2026-01-01,Jan,79.9
STU-0013,2026-01-29,Jan,82.8
STU-0013,2026-02-26,Feb,77.8
STU-0013,2026-03-26,Mar,85.8
STU-0013,2026-04-23,Apr,78.7
STU-0013,2026-05-21,May,83.6
STU-0013,2026-06-18,Jun,85.2
STU-0014,2026-01-01,Jan,99.7
STU-0014,2026-01-29,Jan,80.6
STU-0014,2026-02-26,Feb,84.6
STU-0014,2026-03-26,Mar,96.0
STU-0014,2026-04-23,Apr,98.2
STU-0014,2026-05-21,May,86.4
STU-0014,2026-06-18,Jun,81.8
STU-0015,2026-01-01,Jan,79.1
STU-0015,2026-01-29,Jan,80.3
STU-0015,2026-02-26,Feb,72.9
STU-0015,2026-03-26,Mar,84.8
STU-0015,2026-04-23,Apr,77.5
STU-0015,2026-05-21,May,84.6
STU-0015,2026-06-18,Jun,78.1
STU-0016,2026-01-01,Jan,89.1
STU-0016,2026-01-29,Jan,75.3
STU-0016,2026-02-26,Feb,83.6
STU-0016,2026-03-26,Mar,77.5
STU-0016,2026-04-23,Apr,78.3
STU-0016,2026-05-21,May,73.9
STU-0016,2026-06-18,Jun,78.7
STU-0017,2026-01-01,Jan,56.2
STU-0017,2026-01-29,Jan,55.5
STU-0017,2026-02-26,Feb,57.9
STU-0017,2026-03-26,Mar,45.4
STU-0017,2026-04-23,Apr,46.1
STU-0017,2026-05-21,May,47.9
STU-0017,2026-06-18,Jun,61.9
STU-0018,2026-01-01,Jan,78.9
STU-0018,2026-01-29,Jan,82.0
STU-0018,2026-02-26,Feb,79.7
STU-0018,2026-03-26,Mar,85.5
STU-0018,2026-04-23,Apr,85.2
STU-0018,2026-05-21,May,75.3
STU-0018,2026-06-18,Jun,86.0
STU-0019,2026-01-01,Jan,57.4
STU-0019,2026-01-29,Jan,65.7
STU-0019,2026-02-26,Feb,71.3
STU-0019,2026-03-26,Mar,59.8
STU-0019,2026-04-23,Apr,57.2
STU-0019,2026-05-21,May,69.7
STU-0019,2026-06-18,Jun,57.1
STU-0020,2026-01-01,Jan,74.4
